,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,1.2589949493661168,1.506904842947474,3.765,0.0,1.0,3.0,3.0,3.0,0.0,5.0
1,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.8984481566620235,1.984770161942746,12.336375,1.0,3.0,4.0,5.0,7.0,0.0,10.0
2,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.327991651866771,1.7560772064576864,8.38,1.0,2.5495097567963922,3.0,4.0,4.799999999999997,0.0,7.0
3,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,4.378808338794546,2.587235802152752,25.6,3.0,4.0,6.0,7.0,8.599999999999994,0.0,10.0
4,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.6064911064067346,1.8160752417136252,9.96,2.0,2.0,3.0,4.0,6.3999999999999915,0.0,8.0
5,full_data,full_data,1000,1000,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.428116999725264,1.3826729983135815,7.805625,2.0,2.0,3.0,4.0,5.0,0.0,9.0
6,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.2373876888270985,1.5475438637714949,7.305,1.5811388300841898,2.0,3.0,4.600000000000001,5.0,0.0,6.0
7,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,3.7190903808236118,2.409479270174645,19.405,2.0,3.605551275463989,4.0,7.200000000000003,8.799999999999997,0.0,10.0
8,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,1.8260112615949153,1.7427477324282772,6.25,0.0,1.0606601717798212,3.0,3.0,3.799999999999997,0.0,7.0
9,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.4275433854818322,1.943981011681225,9.66825,0.0,3.0,3.0,5.0,7.0,0.0,8.0
10,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,1.3931370849898475,1.7407999425629221,4.85,0.0,1.0,3.0,3.0,3.0,0.0,7.0
11,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,3.108823854857211,2.1164569054866273,13.965,2.0,3.0,4.0,5.754065922853803,6.799999999999997,0.0,7.0
12,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.0235848547237225,1.9445715937077164,7.725,0.0,1.0,3.0,4.0,4.799999999999997,0.0,7.0
13,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.9441537465526433,2.105294749587974,13.095875,1.0,3.0,4.0,6.0,6.016227766016823,0.0,11.0
14,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.0235848547237225,1.7883023652955436,7.165,0.3535533905932738,2.23606797749979,3.0,4.0,4.0,0.0,7.0
15,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,2,uniform,euclidean,-100.0,dBm,None,2.392564948591884,1.9109424394919854,9.23,1.0,2.0,3.0,5.600000000000001,6.0,0.0,6.0
