,train_data,test_data,n_neighbors,weights,metric,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
12,full_raw_data,full_raw_data,1,distance,manhattan,2.662912309375052,1.3327318585468064,8.8655,2.0,2.0,3.9999999999999964,4.0,6.0,1.581138830084188,8.0
13,full_raw_data,summarized_mean_data,1,distance,manhattan,2.526491106406735,1.2486837608590056,7.88,2.0,2.0,2.0,4.0,5.599999999999994,1.5811388300841898,6.0
14,summarized_mean_data,full_raw_data,1,distance,manhattan,2.547706052144885,1.2098171470903025,7.953,2.0,2.0,2.000000000000001,4.0,6.0,1.581138830084188,10.0
15,summarized_mean_data,summarized_mean_data,1,distance,manhattan,2.3664911064067353,1.1724794966658916,6.92,2.0,2.0,2.0,3.200000000000003,5.599999999999994,1.5811388300841898,6.0
16,full_raw_data,full_raw_data,2,uniform,euclidean,2.428116999725264,1.3826729983135815,7.805625,2.0,2.0,3.0,4.0,5.0,0.0,9.0
17,full_raw_data,summarized_mean_data,2,uniform,euclidean,2.16683040792709,1.5034148571122872,6.865,2.0,2.0,2.23606797749979,3.6000000000000014,5.599999999999994,0.0,6.0
18,summarized_mean_data,full_raw_data,2,uniform,euclidean,2.337519320719666,1.8599631416107234,8.92,0.0,3.0,3.0,4.0,5.0,0.0,9.0
19,summarized_mean_data,summarized_mean_data,2,uniform,euclidean,2.1655652449955785,1.772277010440724,7.705,0.3535533905932738,3.0,3.0,4.0,4.0,0.0,7.0
20,full_raw_data,full_raw_data,2,uniform,manhattan,2.4132587110547403,1.404423297413123,7.79425,2.0,2.0,3.0,4.0,5.0,0.0,8.0
21,full_raw_data,summarized_mean_data,2,uniform,manhattan,2.04683040792709,1.1526623535252627,5.465,2.0,2.0,2.23606797749979,3.0,3.799999999999997,0.0,5.0
22,summarized_mean_data,full_raw_data,2,uniform,manhattan,2.24443861113865,1.8847207998330449,8.586125,0.0,3.0,3.0,4.0,5.0,0.0,9.0
23,summarized_mean_data,summarized_mean_data,2,uniform,manhattan,1.7326910683905106,1.899227272010841,6.465,0.0,1.0,3.0,4.0,4.0,0.0,7.0
24,full_raw_data,full_raw_data,2,distance,euclidean,2.4331143471228844,1.3740705098845687,7.8062271225435005,2.0,2.0,3.014314654632415,4.0000000000000036,5.019447568553335,0.0011778567100577675,8.999130434125089
25,full_raw_data,summarized_mean_data,2,distance,euclidean,2.1520238054189247,1.4940414619086984,6.774079953395938,2.0,2.0,2.070885241240534,3.620776214895354,5.599999999999994,0.009252560452784664,6.0
26,summarized_mean_data,full_raw_data,2,distance,euclidean,2.2560832865010014,1.6780494676659194,7.9029459615471005,0.3246300313612398,2.8570213696311235,3.0479709344856625,4.006376301715402,5.166044566085436,0.003175907584841653,8.922756022802613
27,summarized_mean_data,summarized_mean_data,2,distance,euclidean,2.054541455078505,1.493699249194051,6.363032539797256,0.3713325727152255,2.7470844170786677,2.950947024166374,3.5945138723568286,4.006380325536496,0.17503612939392976,5.395851477106085
28,full_raw_data,full_raw_data,2,distance,manhattan,2.419958199593107,1.3918626863330537,7.791542143646568,1.9999999999999991,2.0,3.0388461538461553,4.0000000000000036,5.0420157657657665,0.0,7.9999999999999964
29,full_raw_data,summarized_mean_data,2,distance,manhattan,2.0509973767924503,1.1679696600905651,5.516177241425899,1.9999999999999964,2.0,2.089863418500816,3.0576550841499897,3.9031305420226463,0.001906577693041811,5.0492686682063095
30,summarized_mean_data,full_raw_data,2,distance,manhattan,2.1741043347093534,1.6806571271208468,7.548513428765149,0.3040724499651657,2.8022604476110775,3.060865288639513,4.119443740558973,5.1031500142290955,0.0030850594975753154,8.973942552417888
31,summarized_mean_data,summarized_mean_data,2,distance,manhattan,1.707996289380467,1.5723139446000178,5.290535619305766,0.3140536579089006,1.2851868943239495,2.9079601990049753,3.794515860453287,4.069600091459578,0.02157962883038511,5.227769638228331
32,full_raw_data,full_raw_data,3,uniform,euclidean,2.400288330866645,1.3182557306233225,7.4974444444444455,2.0,2.0,3.333333333333332,4.0,4.666666666666668,0.0,9.333333333333332
