,filename,x,y,floor,sample_id,mac_address,signal_strength
68,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:70,-54
69,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:72,-53
70,"altPoint(27,10).json",13.5,5.0,2,18,00:12:da:9e:32:31,-56
71,"altPoint(27,10).json",13.5,5.0,2,18,00:12:da:9e:32:30,-56
72,"altPoint(27,10).json",13.5,5.0,2,18,00:12:da:9e:32:32,-57
73,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:e0,-81
74,"altPoint(27,10).json",13.5,5.0,2,18,00:11:21:66:75:81,-79
75,"altPoint(27,10).json",13.5,5.0,2,18,00:11:21:66:75:82,-79
76,"altPoint(27,10).json",13.5,5.0,2,18,00:11:21:66:75:80,-80
77,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:e1,-80
78,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:e2,-81
79,"altPoint(27,10).json",13.5,5.0,2,18,00:11:21:6c:50:e1,-89
80,"altPoint(27,10).json",13.5,5.0,2,18,00:11:21:6c:50:e2,-87
81,"altPoint(27,10).json",13.5,5.0,2,18,00:11:21:6c:50:e0,-88
82,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:22,-87
83,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:d2,-83
84,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:20,-88
85,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:d1,-83
86,"altPoint(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:21,-87
87,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7d:71,-54
88,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:6c:4e:72,-79
89,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:6c:4e:71,-78
90,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:6c:4e:70,-80
91,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7d:70,-54
92,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7d:72,-53
93,"altPoint(27,10).json",13.5,5.0,2,10,00:12:da:9e:32:31,-57
94,"altPoint(27,10).json",13.5,5.0,2,10,00:12:da:9e:32:30,-58
95,"altPoint(27,10).json",13.5,5.0,2,10,00:12:da:9e:32:32,-57
96,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7a:e0,-79
97,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:66:75:81,-80
98,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:66:75:82,-78
99,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:66:75:80,-80
100,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7a:e1,-79
101,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7a:e2,-80
102,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:6c:50:e1,-87
103,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:6c:50:e2,-87
104,"altPoint(27,10).json",13.5,5.0,2,10,00:11:21:6c:50:e0,-90
105,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7a:d2,-89
106,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7d:22,-91
107,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7d:20,-87
108,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7d:21,-87
109,"altPoint(27,10).json",13.5,5.0,2,10,00:15:f9:6c:7a:d1,-85
110,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:e1,-75
111,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:e0,-76
112,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7a:e2,-75
113,"point(27,10).json",13.5,5.0,2,18,00:12:da:9e:32:31,-66
114,"point(27,10).json",13.5,5.0,2,18,00:12:da:9e:32:32,-68
115,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:72,-50
116,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:71,-50
117,"point(27,10).json",13.5,5.0,2,18,00:15:f9:6c:7d:70,-65
118,"point(27,10).json",13.5,5.0,2,18,00:12:da:9e:32:30,-68
119,"point(27,10).json",13.5,5.0,2,18,00:11:21:66:75:82,-80
120,"point(27,10).json",13.5,5.0,2,18,00:11:21:66:75:81,-80
121,"point(27,10).json",13.5,5.0,2,18,00:11:21:6c:4e:72,-80
