,filename,x,y,floor,sample_id,timestamp,00:15:f9:6c:7d:71,00:11:21:6c:4e:72,00:11:21:6c:4e:71,00:15:f9:6c:7d:21,00:11:21:6c:4e:70,00:15:f9:6c:7d:20,00:15:f9:6c:7d:22,00:11:21:6c:50:e1,00:11:21:6c:50:e2,00:15:f9:6c:7d:70,00:15:f9:6c:7d:72,00:11:21:6c:50:e0,00:12:da:9e:32:31,00:12:da:9e:32:30,00:12:da:9e:32:32,00:11:21:66:75:82,00:11:21:66:75:81,00:15:f9:6c:7a:e1,00:15:f9:6c:7a:e0,00:11:21:66:75:80,00:15:f9:6c:7a:d2,00:15:f9:6c:7a:d1,00:15:f9:6c:7a:e2,00:15:f9:6c:7a:d0,00:17:df:7d:70:51,00:17:df:7d:70:52,00:17:df:7d:70:50,88:e3:ab:11:f4:ee,00:12:80:17:ac:ae,00:0f:60:06:71:2e,00:1b:fc:22:43:4e,00:12:da:9e:31:91,00:12:43:f1:c4:41,00:12:43:f1:c4:40,00:12:43:f1:c4:42,bc:14:01:9c:37:08,bc:14:01:9c:37:09,b0:5b:67:c2:a0:16,30:8d:99:64:aa:8d,error
10,"altPoint(31,22).json",15.5,11.0,2,10,1461870566097,-39.0,-72.0,-73.0,-79.0,-73.0,-79.0,-80.0,-80.0,-84.0,-42.0,-42.0,-83.0,-67.0,-67.0,-58.0,-83.0,-84.0,-100.0,-88.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
11,"altPoint(31,22).json",15.5,11.0,2,11,1461870566097,-39.0,-74.0,-74.0,-81.0,-68.0,-80.0,-80.0,-82.0,-82.0,-42.0,-42.0,-100.0,-69.0,-56.0,-57.0,-83.0,-84.0,-100.0,-100.0,-83.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
12,"altPoint(31,22).json",15.5,11.0,2,12,1461870566097,-47.0,-75.0,-75.0,-78.0,-75.0,-78.0,-78.0,-81.0,-82.0,-46.0,-47.0,-81.0,-68.0,-58.0,-68.0,-85.0,-84.0,-100.0,-100.0,-81.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
13,"altPoint(31,22).json",15.5,11.0,2,13,1461870566097,-46.0,-77.0,-77.0,-75.0,-78.0,-75.0,-76.0,-81.0,-79.0,-46.0,-47.0,-79.0,-69.0,-68.0,-69.0,-85.0,-87.0,-100.0,-100.0,-85.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
14,"altPoint(31,22).json",15.5,11.0,2,14,1461870566097,-46.0,-76.0,-76.0,-76.0,-76.0,-75.0,-76.0,-82.0,-82.0,-46.0,-46.0,-82.0,-58.0,-58.0,-58.0,-86.0,-84.0,-89.0,-100.0,-85.0,-88.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
15,"altPoint(31,22).json",15.5,11.0,2,15,1461870566097,-46.0,-72.0,-73.0,-78.0,-73.0,-77.0,-77.0,-81.0,-81.0,-46.0,-46.0,-81.0,-70.0,-70.0,-69.0,-85.0,-86.0,-89.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
16,"altPoint(31,22).json",15.5,11.0,2,16,1461870566097,-42.0,-67.0,-68.0,-78.0,-67.0,-78.0,-78.0,-84.0,-84.0,-42.0,-42.0,-85.0,-69.0,-69.0,-69.0,-84.0,-84.0,-100.0,-86.0,-83.0,-100.0,-90.0,-87.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
17,"altPoint(31,22).json",15.5,11.0,2,17,1461870566097,-44.0,-66.0,-66.0,-78.0,-76.0,-79.0,-80.0,-80.0,-80.0,-48.0,-48.0,-81.0,-71.0,-71.0,-72.0,-85.0,-84.0,-100.0,-86.0,-85.0,-90.0,-90.0,-87.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
18,"altPoint(31,22).json",15.5,11.0,2,18,1461870566097,-46.0,-74.0,-74.0,-82.0,-75.0,-80.0,-81.0,-80.0,-81.0,-46.0,-46.0,-80.0,-69.0,-68.0,-58.0,-84.0,-84.0,-100.0,-100.0,-85.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
19,"altPoint(31,22).json",15.5,11.0,2,19,1461870566097,-47.0,-70.0,-70.0,-78.0,-70.0,-77.0,-78.0,-82.0,-78.0,-46.0,-46.0,-81.0,-68.0,-58.0,-68.0,-87.0,-84.0,-100.0,-100.0,-84.0,-100.0,-100.0,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
20,"point(31,22).json",15.5,11.0,2,0,1461866954952,-48.0,-76.0,-75.0,-74.0,-76.0,-74.0,-74.0,-77.0,-76.0,-48.0,-48.0,-81.0,-62.0,-62.0,-70.0,-82.0,-84.0,-84.0,-85.0,-81.0,-100.0,-89.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
21,"point(31,22).json",15.5,11.0,2,1,1461866954952,-55.0,-63.0,-63.0,-76.0,-63.0,-74.0,-75.0,-76.0,-76.0,-55.0,-55.0,-75.0,-62.0,-62.0,-62.0,-82.0,-84.0,-80.0,-82.0,-81.0,-100.0,-89.0,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
22,"point(31,22).json",15.5,11.0,2,2,1461866954952,-46.0,-72.0,-72.0,-76.0,-74.0,-75.0,-75.0,-76.0,-76.0,-46.0,-46.0,-76.0,-64.0,-69.0,-68.0,-80.0,-80.0,-83.0,-84.0,-100.0,-100.0,-100.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
23,"point(31,22).json",15.5,11.0,2,3,1461866954952,-46.0,-61.0,-72.0,-76.0,-71.0,-77.0,-76.0,-76.0,-73.0,-46.0,-46.0,-76.0,-71.0,-72.0,-65.0,-80.0,-82.0,-85.0,-84.0,-100.0,-100.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
24,"altPoint(27,6).json",13.5,3.0,2,0,1461871305826,-62.0,-82.0,-81.0,-84.0,-100.0,-89.0,-86.0,-88.0,-88.0,-62.0,-62.0,-87.0,-72.0,-72.0,-71.0,-77.0,-76.0,-70.0,-69.0,-76.0,-77.0,-79.0,-70.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
25,"altPoint(27,6).json",13.5,3.0,2,1,1461871305826,-58.0,-82.0,-83.0,-85.0,-83.0,-85.0,-83.0,-87.0,-89.0,-57.0,-58.0,-90.0,-76.0,-76.0,-76.0,-74.0,-84.0,-68.0,-67.0,-86.0,-87.0,-100.0,-67.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
26,"altPoint(27,6).json",13.5,3.0,2,2,1461871305826,-66.0,-83.0,-83.0,-84.0,-83.0,-83.0,-83.0,-88.0,-86.0,-66.0,-66.0,-84.0,-68.0,-68.0,-68.0,-74.0,-84.0,-71.0,-71.0,-84.0,-87.0,-100.0,-72.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
27,"altPoint(27,6).json",13.5,3.0,2,3,1461871305826,-55.0,-82.0,-81.0,-83.0,-100.0,-82.0,-83.0,-86.0,-86.0,-71.0,-71.0,-87.0,-68.0,-66.0,-68.0,-83.0,-82.0,-70.0,-70.0,-82.0,-100.0,-100.0,-71.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
28,"altPoint(27,6).json",13.5,3.0,2,4,1461871305826,-64.0,-82.0,-81.0,-84.0,-100.0,-82.0,-83.0,-88.0,-89.0,-66.0,-56.0,-89.0,-65.0,-65.0,-69.0,-83.0,-81.0,-70.0,-70.0,-82.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
29,"altPoint(27,6).json",13.5,3.0,2,5,1461871305826,-63.0,-85.0,-81.0,-82.0,-100.0,-82.0,-82.0,-88.0,-88.0,-63.0,-62.0,-88.0,-66.0,-66.0,-66.0,-77.0,-78.0,-70.0,-70.0,-78.0,-100.0,-100.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
30,"altPoint(27,6).json",13.5,3.0,2,6,1461871305826,-58.0,-86.0,-87.0,-83.0,-100.0,-83.0,-80.0,-86.0,-89.0,-62.0,-62.0,-86.0,-70.0,-72.0,-71.0,-83.0,-78.0,-70.0,-70.0,-78.0,-83.0,-78.0,-70.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
31,"altPoint(27,6).json",13.5,3.0,2,7,1461871305826,-57.0,-83.0,-87.0,-84.0,-100.0,-82.0,-84.0,-85.0,-86.0,-57.0,-58.0,-86.0,-70.0,-71.0,-70.0,-70.0,-82.0,-70.0,-70.0,-75.0,-83.0,-81.0,-71.0,-83.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
32,"altPoint(27,6).json",13.5,3.0,2,8,1461871305826,-57.0,-88.0,-100.0,-84.0,-100.0,-84.0,-83.0,-86.0,-86.0,-56.0,-56.0,-86.0,-70.0,-68.0,-69.0,-85.0,-87.0,-71.0,-71.0,-72.0,-80.0,-80.0,-71.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,0
