,filename,x,y,floor,orientation,sample_id,mac_address,timestamp,signal_strength
0,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7a:e1,1461866391052,-80
1,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7a:e0,1461866391052,-80
2,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7a:e2,1461866391052,-80
3,"point(27,10).json",13.5,5.0,2,142.76685,0,00:12:da:9e:32:31,1461866391052,-66
4,"point(27,10).json",13.5,5.0,2,142.76685,0,00:12:da:9e:32:32,1461866391052,-65
5,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7d:72,1461866391052,-51
6,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7d:71,1461866391052,-51
7,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7d:70,1461866391052,-51
8,"point(27,10).json",13.5,5.0,2,142.76685,0,00:12:da:9e:32:30,1461866391052,-66
9,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:66:75:82,1461866391052,-80
10,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:66:75:81,1461866391052,-79
11,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:6c:4e:72,1461866391052,-79
12,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:6c:4e:70,1461866391052,-80
13,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:6c:50:e2,1461866391052,-89
14,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:6c:4e:71,1461866391052,-78
15,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:66:75:80,1461866391052,-77
16,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7a:d2,1461866391052,-86
17,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7d:22,1461866391052,-88
18,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7d:20,1461866391052,-87
19,"point(27,10).json",13.5,5.0,2,142.76685,0,00:15:f9:6c:7a:d1,1461866391052,-88
20,"point(27,10).json",13.5,5.0,2,142.76685,0,00:11:21:6c:50:e1,1461866391052,-88
21,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7a:e1,1461866391052,-79
22,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7a:e0,1461866391052,-81
23,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7a:e2,1461866391052,-80
24,"point(27,10).json",13.5,5.0,2,142.76685,1,00:12:da:9e:32:31,1461866391052,-65
25,"point(27,10).json",13.5,5.0,2,142.76685,1,00:12:da:9e:32:32,1461866391052,-65
26,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7d:72,1461866391052,-49
27,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7d:71,1461866391052,-50
28,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7d:70,1461866391052,-49
29,"point(27,10).json",13.5,5.0,2,142.76685,1,00:12:da:9e:32:30,1461866391052,-65
30,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:66:75:82,1461866391052,-79
31,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:66:75:81,1461866391052,-80
32,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:6c:4e:72,1461866391052,-78
33,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:6c:4e:70,1461866391052,-80
34,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:6c:50:e2,1461866391052,-89
35,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:66:75:80,1461866391052,-77
36,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7a:d2,1461866391052,-81
37,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7d:22,1461866391052,-85
38,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7d:20,1461866391052,-85
39,"point(27,10).json",13.5,5.0,2,142.76685,1,00:11:21:6c:50:e1,1461866391052,-88
40,"point(27,10).json",13.5,5.0,2,142.76685,1,00:15:f9:6c:7d:21,1461866391052,-86
41,"point(27,10).json",13.5,5.0,2,142.76685,2,00:15:f9:6c:7a:e1,1461866391052,-76
42,"point(27,10).json",13.5,5.0,2,142.76685,2,00:15:f9:6c:7a:e0,1461866391052,-76
43,"point(27,10).json",13.5,5.0,2,142.76685,2,00:15:f9:6c:7a:e2,1461866391052,-75
44,"point(27,10).json",13.5,5.0,2,142.76685,2,00:12:da:9e:32:31,1461866391052,-69
45,"point(27,10).json",13.5,5.0,2,142.76685,2,00:12:da:9e:32:32,1461866391052,-69
46,"point(27,10).json",13.5,5.0,2,142.76685,2,00:15:f9:6c:7d:72,1461866391052,-50
47,"point(27,10).json",13.5,5.0,2,142.76685,2,00:15:f9:6c:7d:71,1461866391052,-49
48,"point(27,10).json",13.5,5.0,2,142.76685,2,00:15:f9:6c:7d:70,1461866391052,-50
49,"point(27,10).json",13.5,5.0,2,142.76685,2,00:12:da:9e:32:30,1461866391052,-70
50,"point(27,10).json",13.5,5.0,2,142.76685,2,00:11:21:66:75:82,1461866391052,-78
51,"point(27,10).json",13.5,5.0,2,142.76685,2,00:11:21:66:75:81,1461866391052,-77
52,"point(27,10).json",13.5,5.0,2,142.76685,2,00:11:21:6c:4e:72,1461866391052,-77
