,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.030944988225339,2.846906673241486,24.0292,2.12602916254693,3.3105890714493698,4.651881339845202,8.428398916919633,9.585936038781718,0.0,11.2
1,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,3.9805302911457283,2.868866392205165,23.7458,2.1999999999999993,3.3105890714493698,4.651881339845202,8.308398916919634,9.545936038781718,0.0,11.2
2,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.046779919058905,2.8102810295972476,23.958199999999998,2.12602916254693,3.1503968004046725,4.623851208678757,8.428398916919633,9.585936038781718,0.1999999999999993,11.2
3,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.290127742268331,2.8296016681893934,26.403834999999994,2.1999999999999993,3.765634076752546,5.353970489272424,9.0,11.2,0.0,12.134249049694011
4,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.347233267533551,2.7194444357659355,25.997999999999998,2.3999999999999986,3.6769552621700456,5.3967582862307255,8.446309242345565,9.613833886127857,0.0,11.2
5,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.155807678296623,2.8359049373265233,24.9914,2.280350850198276,3.6769552621700456,4.651881339845202,8.446309242345565,9.613833886127857,0.0,11.2
6,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.200333424246382,2.8180961224510446,25.2668,2.280350850198276,3.49857113690718,5.3967582862307255,8.446309242345565,9.613833886127857,0.1999999999999993,11.2
7,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.515843133364921,2.8090713192294463,28.275829999999996,2.280350850198276,4.024922359499621,5.502726596879041,9.0,11.2,0.0,12.165525060596439
8,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.141440657756728,2.8738529012821497,25.0802,2.1999999999999993,3.4,5.173490117899135,8.428398916919633,9.585936038781718,0.0,11.2
9,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,10,uniform,euclidean,-100.0,dBm,None,4.253033408620124,2.8500560712980363,25.886199999999995,2.1999999999999993,3.6055512754639873,5.173490117899135,8.428398916919633,9.585936038781718,0.0,11.2
