,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.8102699904466832,2.5025430753601694,20.530370370370374,2.3267101768191027,3.333333333333332,4.8387581306481495,7.476350098595312,8.937348305120583,0.801233616769774,10.0
1,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.6545488079451345,2.6255660614388594,19.97358024691358,1.571348402636772,2.8974232912011755,4.8387581306481495,7.476350098595312,8.937348305120583,0.22222222222222143,10.0
2,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,4.181377907948908,2.6017448495655775,24.24622839506173,2.212478639082209,3.986036074988299,5.555555555555557,7.777777777777779,10.0,0.22222222222222143,11.92802489005526
3,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.8128535988745518,2.501115857241813,20.54320987654321,2.212478639082209,3.224137361899313,4.8387581306481495,7.476350098595312,8.937348305120583,0.801233616769774,10.0
4,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.91437236797838,2.5292344351706317,21.463456790123455,2.1154925294066413,3.333333333333332,4.7951879171200185,7.464372958225374,8.919129567013725,0.801233616769774,10.0
5,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.6366179036042814,2.608982160254325,19.759506172839505,1.5555555555555571,2.6851213274654606,4.541305626152402,7.464372958225374,8.919129567013725,0.6666666666666679,10.0
6,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.9461868160823252,2.4749486430698076,21.691635802469136,2.1154925294066413,3.555555555555557,4.7951879171200185,7.777777777777779,9.204467514322717,0.801233616769774,10.0
7,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.772056451798168,2.5431937329217056,20.43753086419753,1.3517250067329383,3.333333333333332,4.541305626152402,7.464372958225374,8.919129567013725,0.8784104611578833,10.0
8,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,2.659824439740068,1.700097014943441,9.849382716049382,1.5811388300841898,2.0,3.333333333333332,4.2666666666666675,6.222222222222217,0.22222222222222232,7.333333333333334
9,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.464529498439973,2.473781925054448,17.877777777777773,2.0,2.2222222222222223,4.444444444444443,6.666666666666668,8.355555555555549,0.22222222222222143,10.222222222222221
10,full_data,full_data,1000,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,2.32525296048993,1.3135986811726832,7.130617283950617,1.5555555555555554,2.0,3.111111111111111,4.0,4.666666666666668,0.0,9.555555555555557
11,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,1.9702280768116582,1.3091671251737182,5.527160493827161,0.8888888888888893,2.0,2.666666666666667,3.9555555555555566,4.3999999999999995,0.22222222222222143,4.666666666666667
12,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.5646674262321665,2.6088564866263892,19.24074074074074,1.3517250067329363,2.6851213274654606,4.541305626152402,7.464372958225374,8.919129567013725,0.8784104611578833,10.0
13,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.7551659067812553,2.4681016690922366,19.949135802469133,2.3267101768191027,2.5337231668869733,4.3976705393696225,7.491075268589784,8.959791913842793,1.1111111111111107,10.0
14,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.861748347820649,2.4975608797302224,21.14467283950617,2.1154925294066413,3.333333333333332,4.7951879171200185,7.777777777777779,9.204467514322717,0.22222222222222143,11.92802489005526
15,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,None,3.700291051734161,2.5382250953941576,19.877037037037038,2.3267101768191027,3.333333333333332,4.541305626152402,7.464372958225374,8.919129567013725,0.801233616769774,10.0
16,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.236843815209073,3.803722556554472,66.26148148148148,5.337960955317472,7.485376690423192,8.328146533974895,12.003471469028652,15.007862040530448,1.1967032904743333,16.261937685403627
17,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.828933494491288,4.245446343243777,78.59506172839507,4.944756544457027,7.777777777777779,10.675054572387758,12.627082371535238,15.007862040530448,1.2570787221094184,17.743195531085178
18,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,9.278664389803538,5.245284080462144,113.5791049382716,5.488484015657098,8.433106423532035,13.118641905018169,17.39607590205686,18.288497363164343,0.9162456945817026,20.083775160346672
19,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.3894298901132665,4.010984143476195,70.04814814814816,5.4069000269317495,7.607663452721642,9.780302704295728,12.525570839459311,15.007862040530448,1.1967032904743333,16.261937685403627
20,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,6.9815914372163554,3.1331639477354996,58.16666666666667,5.013561854523768,7.197393218089621,8.26453078739516,10.060572806111026,11.33599111365796,1.1967032904743333,15.368116746878227
21,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.331312060726034,3.4053201781999483,64.88049382716049,5.013561854523768,7.485376690423192,9.3992382144696,10.279383394356302,12.734793460527325,1.1967032904743333,15.544639026659185
22,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,8.95517950522196,4.794625496124556,103.1606851851852,5.797718080009529,8.26453078739516,11.951256894984079,16.0,17.895443933589547,1.1967032904743333,19.681413178208473
23,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,6.9967871590843105,3.1656563639493434,58.57555555555555,5.013561854523768,7.197393218089621,8.26453078739516,10.060572806111026,11.498687727192282,1.1967032904743333,15.544639026659185
24,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,3.0477961736403767,1.9237858163725239,12.84197530864198,2.0,2.666666666666668,4.0,5.742272851314267,6.180757617104754,0.0,7.777777777777779
25,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,3.9289789936276582,2.2110629806966147,20.130123456790123,2.0,3.555555555555557,5.333333333333333,7.442054874055615,8.62222222222222,1.1111111111111112,8.666666666666668
26,full_data,full_data,1000,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,2.347482094828318,1.4523667864931358,7.617932098765433,1.4229164972072996,2.0,3.333333333333332,4.0,5.333333333333332,0.0,8.666666666666668
27,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,3.2607454206976496,2.125228998231649,14.968395061728398,2.0,2.666666666666666,4.444444444444443,6.53929301198729,7.066666666666669,0.22222222222222143,7.777777777777779
28,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.040087364461318,3.29802043826684,60.004691358024694,5.013561854523768,7.197393218089621,8.328146533974895,10.605216793481414,12.642494781004354,1.1967032904743333,15.368116746878227
29,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.697573903373817,4.239753801392774,76.50913580246913,4.151453709393201,7.636817901084261,10.808375810190954,12.627082371535238,15.007862040530448,1.1967032904743333,16.62680418131971
30,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,9.268461907733581,5.150390577815088,112.40438271604937,5.488484015657098,8.621320113174498,12.886254520051803,16.87371394276382,18.288497363164343,1.1967032904743333,20.083775160346672
31,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,RobustScaler,7.13678445529512,3.7423978476841553,64.37901234567902,4.151453709393201,7.485376690423192,8.812168915065934,11.266513759859144,14.762209470807276,1.1967032904743333,16.261937685403627
32,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.452905584778096,2.408623749249296,25.39777777777778,2.8974232912011755,4.434015542052204,5.555555555555557,7.476350098595312,8.937348305120583,0.801233616769774,10.0
33,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.369680606913474,2.647445199886703,25.82271604938272,2.713705498182181,3.337959752399957,5.555555555555557,8.158662772835616,10.1677985948134,1.60246723353955,11.116942913997825
34,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.964597898331911,2.9174096364524296,33.15,2.713705498182181,4.714045207910318,6.238569794946575,10.0,10.222222222222221,0.801233616769774,14.471769026813275
35,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.493602491332391,2.3914458447580342,25.682716049382716,2.8974232912011755,4.175176495123542,5.555555555555557,7.476350098595312,8.937348305120583,1.091493483577139,10.0
36,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.819599110764954,2.363040108891951,28.589135802469137,2.8109134757052274,4.892044436166958,5.555555555555557,7.648090636666387,8.959791913842793,0.9938079899999062,10.0
37,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.774941715851062,2.44269313428963,28.52814814814815,3.0225490019412087,4.112612338515944,5.898315306660889,7.709732047755324,8.959791913842793,1.1967032904743333,10.703639625593153
38,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,5.14777819844049,3.0831666189583005,35.99603086419753,2.8100894828063248,4.659218682710163,7.104597711480595,10.0,11.046758085408173,0.8784104611578833,14.471769026813275
39,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.7251284150863935,2.3491146172076713,27.624444444444443,2.8888888888888897,4.112612338515944,5.555555555555557,7.648090636666387,8.959791913842793,0.9938079899999062,10.0
40,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,2.446376749147125,1.444330946840004,7.987407407407408,1.5555555555555554,2.2222222222222214,2.8888888888888893,4.0,5.066666666666665,0.22222222222222143,6.444444444444445
41,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,3.6581972279517725,1.9142666010191225,16.900246913580247,2.4444444444444446,3.333333333333334,4.46661138716484,5.333333333333336,7.46666666666666,0.22222222222222143,8.444444444444443
42,full_data,full_data,1000,1000,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,2.266198734513135,1.3391035144112067,6.927061728395062,1.3333333333333357,2.0,3.1111111111111107,4.0,4.666666666666668,0.0,8.222222222222221
43,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,2.4822751023147305,1.6167014109107767,8.670864197530864,1.3333333333333321,2.4444444444444446,3.1111111111111107,5.066666666666667,5.333333333333335,0.0,5.555555555555555
44,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.592823812059766,2.3676476078000293,26.475555555555562,2.807617504109617,4.892044436166958,5.555555555555557,7.491075268589784,8.959791913842793,0.9162456945817026,10.0
45,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,9,uniform,euclidean,-100.0,dBm,StandardScaler,4.229308151817575,2.3425445311856903,23.15506172839506,2.807617504109617,3.868996743662256,4.919098582484147,7.491075268589784,8.959791913842793,1.1967032904743333,10.0
