,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.72,0.9797958971132711,8.32,2.0,2.0,4.0,4.0,4.0,2.0,4.0
1,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.64,1.1135528725660047,8.16,2.0,2.0,4.0,4.0,4.0,2.0,6.0
2,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.04,1.42828568570857,11.2,2.0,2.0,4.0,4.0,4.0,2.0,8.0
3,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.32872539940075,1.5986378133406496,13.6335,2.0,2.0,4.0,6.0,6.0,1.5811388300841898,10.0
4,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.1918871142901035,1.636770400319887,12.76,2.0,2.0,4.0,5.388854381999834,6.0,1.5811388300841898,8.0
5,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.2232455532033675,0.8881037911855681,5.7,2.0,2.0,2.0,2.0,3.5999999999999943,1.5811388300841898,6.0
6,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.2232455532033675,0.8881037911855683,5.7,2.0,2.0,2.0,2.0,3.5999999999999943,1.5811388300841898,6.0
7,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.6709044456410447,1.4752782409237524,9.308,2.0,2.0,2.0,4.0,6.0,1.5811388300841898,10.0
8,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,4.365490384767993,2.7880873261106722,26.52,2.0,4.0,4.47213595499958,8.0,9.599999999999994,2.0,12.0
9,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.4632455532033677,1.2043416876658504,7.46,2.0,2.0,2.0,4.0,5.599999999999994,1.5811388300841898,6.0
10,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.2232455532033675,0.8881037911855681,5.7,2.0,2.0,2.0,2.0,3.5999999999999943,1.5811388300841898,6.0
11,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.9790238225977195,1.7018558628077431,11.768,2.0,2.0,4.0,6.0,6.0,1.5811388300841898,10.0
12,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.7992758460698166,2.433597954818835,20.12,2.0,2.9154759474226504,4.0,7.200000000000003,9.599999999999994,1.5811388300841898,10.0
13,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.623245553203368,1.3914106928756538,8.74,2.0,2.0,2.0,4.0,4.0,1.5811388300841898,8.0
14,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,3.0864911064067355,1.8578584922319745,12.84,2.0,2.0,4.0,5.200000000000003,7.599999999999994,1.5811388300841898,8.0
15,full_data,full_data,1000,1000,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,NormalizerEuclidean,2.674255941707476,1.3493242138479378,8.9705,2.0,2.0,4.0,4.0,6.0,1.5811388300841898,10.0
16,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,1,uniform,euclidean,-100.0,dBm,None,2.8,1.0000000000000002,8.8,2.0,2.0,4.0,4.0,4.0,2.0,4.0
