,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.2126835653733097,1.4983124363478235,7.051111111111111,1.333333333333333,1.3333333333333357,2.1081851067789192,4.400000000000001,5.73333333333333,0.6666666666666679,6.0
1,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.8731456265694924,1.8260253495233238,11.586,1.333333333333333,2.0,4.0,5.333333333333332,6.666666666666668,0.0,10.0
2,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.4103959270365927,1.5142044755540904,8.011111111111111,1.3333333333333321,1.333333333333334,4.0,4.0,4.533333333333331,0.6666666666666679,6.0
3,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,3.1349608140142045,2.1291676519718994,14.179999999999998,1.333333333333333,2.0,4.666666666666667,6.0,6.5333333333333306,0.6666666666666665,7.333333333333332
4,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.0972390166273196,1.458305418948106,6.440000000000001,0.849836585598798,2.0,2.666666666666668,4.400000000000001,4.666666666666668,0.0,5.333333333333334
5,full_data,full_data,1000,1000,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.400288330866645,1.3182557306233225,7.4974444444444455,2.0,2.0,3.333333333333332,4.0,4.666666666666668,0.0,9.333333333333332
6,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.499824439740068,1.7571909115983197,9.213333333333333,2.0,2.0,3.3333333333333357,4.0,6.133333333333325,0.0,7.333333333333332
7,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,3.728246982873862,2.393122135340352,19.39777777777778,2.0,3.3333333333333335,4.0,7.200000000000003,8.53333333333333,0.666666666666667,10.0
8,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.2126835653733097,1.5588859297908029,7.228888888888889,1.3333333333333321,1.6996731711975943,2.666666666666668,4.0,5.066666666666663,0.0,6.0
9,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,3.1049651697328664,2.134823409080006,14.193722222222222,1.333333333333333,2.666666666666667,4.0,5.333333333333336,8.0,0.0,11.333333333333336
10,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,1.9681082886998749,1.3105231088883105,5.522222222222222,1.3333333333333321,1.3333333333333357,2.0,4.0,4.533333333333331,0.6666666666666679,6.0
11,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,4.1184959250505315,2.407596048189811,22.52666666666667,2.666666666666667,4.0,5.333333333333333,7.066666666666666,7.8666666666666645,0.0,10.0
12,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.3692210921388037,1.4899789781127017,7.7444444444444445,1.3333333333333321,1.90029237516523,4.0,4.0,4.533333333333331,0.666666666666667,5.333333333333334
13,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,3.1924657503573757,1.8648431764810627,13.666,1.333333333333333,3.39934634239519,4.47213595499958,5.497474167490215,6.0,0.0,10.0
14,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.7422957980038074,1.6589517204877453,10.162222222222221,1.3333333333333321,2.1081851067789192,4.0,5.066666666666667,5.333333333333334,0.666666666666667,6.0
15,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,None,2.127560525362988,1.7220444318486496,7.373333333333332,1.3333333333333321,1.3333333333333357,2.748737083745106,4.0,4.533333333333331,0.6666666666666661,8.0
16,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,StandardScaler,2.175743792747206,1.5955395920149624,7.177777777777778,1.3333333333333321,1.333333333333334,2.6666666666666643,4.0,4.533333333333331,0.0,7.363574011458175
17,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,3,uniform,euclidean,-100.0,dBm,StandardScaler,3.295137335642473,2.2095391178885397,15.735111111111111,1.3333333333333335,3.018461712712472,4.0,6.0,8.0,0.0,10.0
