,train_data,test_data,train_data_size,test_data_size,algorithm,n_neighbors,weights,metric,nan_filler,units,scaler,mean_absolute_error,std_dev_distance_error,mean_squared_error,percentile_25,percentile_50,percentile_75,percentile_90,percentile_95,min,max
0,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.686157081603968,1.9673930860799147,10.93125,1.5,2.5,4.0,5.0,5.816637831516916,0.0,6.519202405202649
1,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.5689505364626934,1.9210980858418039,10.1425,1.0,2.5,3.9250796170268956,5.300000000000001,5.899999999999999,0.0,6.020797289396148
2,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.369686333204582,1.9541186958104837,9.28125,0.6373774391990981,2.5,3.0413812651491097,5.0,5.799999999999997,0.0,6.020797289396148
3,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,3.6132625426685023,2.522314585577549,19.411375,2.0,3.0,5.0,7.0,9.0,0.0,12.0
4,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.95875832713387,2.0468469556898112,12.77625,0.7905694150420949,3.127499000799201,5.0,5.300000000000001,5.899999999999999,0.0,6.0
5,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.0185777409954504,1.7234878346556266,6.92625,0.0,2.5,2.5,5.0,5.0,0.0,5.0
6,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.14950991918057,1.9326840973501982,8.20625,0.0,2.5,2.6983791431153628,5.0,5.0,0.0,6.0
7,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,3.456931308058838,2.5872114998019144,18.63734375,2.0,2.62797450520358,5.0,7.0,9.0,0.0,11.5
8,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.2465408386142203,1.6942163442990743,7.8025,1.118033988749895,2.5,2.6983791431153628,5.0,5.0,0.0,6.0
9,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.4320970211153523,1.820000022859956,9.095,1.118033988749895,2.5,2.5,5.0,5.799999999999997,0.0,6.020797289396148
10,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,1.875380950919415,1.9271757965912923,7.0825,0.0,2.23606797749979,2.6983791431153628,5.0,5.0,0.0,6.020797289396148
11,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,3.212331120723294,2.494969417292685,16.53771875,1.5,2.5,5.0,6.118717560456555,8.524999999999977,0.0,11.5
12,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,3.2289623280194437,2.3136376220303436,15.565,1.5811388300841898,3.0,5.0,5.711409973215888,5.970469991071962,0.0,10.0
13,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.0497366596101028,1.4319929389994162,6.17,1.0,2.0,2.5,3.8000000000000007,4.0,0.0,6.5
14,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.3832455532033676,1.3385862540445634,7.4,1.5811388300841898,2.0,3.5,4.0,4.799999999999997,0.0,5.0
15,full_data,full_data,1000,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,MinMaxScaler,2.305438690612972,1.3194836986699747,7.05434375,1.5811388300841898,2.0,3.0,4.0,4.5,0.0,9.5
16,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.5062771220179068,1.9337530940638996,9.87125,1.5,2.5,2.6983791431153628,5.0,5.816637831516916,0.0,7.516648189186454
17,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.991412648975047,1.8691437332015872,12.3025,2.0,2.5,4.527692569068709,5.600000000000001,6.0,0.0,6.020797289396148
18,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.500085064156781,1.9822321887153782,10.0225,0.6373774391990981,2.5,3.9250796170268956,5.0,5.799999999999997,0.0,6.020797289396148
19,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,3.6141913437615645,2.395271802465554,18.79396875,2.0615528128088303,3.020761493398643,5.0,7.0,9.0,0.0,11.5
20,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,3.435763738488963,1.9520362053945588,15.4625,2.5,3.127499000799201,5.0,5.698571136907181,5.848070343256911,0.0,5.852349955359813
21,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.504012483384823,1.6321705522136805,8.8275,2.0,2.5,2.6983791431153628,5.0,5.0,0.0,6.519202405202649
22,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.4480084225006506,1.949827653539184,9.6425,0.0,2.5,3.5355339059327378,5.0,5.0,0.0,6.519202405202649
23,full_groupby_max_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,3.6302680719627505,2.5607540270152365,19.72975,2.5,3.0413812651491097,5.0,7.0,9.0,0.0,11.5
24,full_groupby_mean_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.5138787056775693,1.6876277276170046,9.05375,1.5,2.5,3.127499000799201,5.0,5.254409477236529,0.0,6.0
25,full_groupby_mean_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.736749204044176,1.6626891478125778,10.14375,2.0,2.5,3.0413812651491097,5.0,5.0,0.0,6.519202405202649
26,full_groupby_mean_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.2656197315357014,1.8969457996331716,8.5875,0.0,2.5,2.6983791431153628,5.0,5.0,0.0,6.519202405202649
27,full_groupby_mean_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,3.3867156794442965,2.5152501644958063,17.79,1.5811388300841898,2.6983791431153628,5.0,7.0,9.0,0.0,11.5
28,full_data,full_groupby_min_data,1000,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,3.7735250317559395,1.9739208113526179,17.98,2.0,3.5,5.0,5.809072203437453,6.0662100242385755,1.0,10.0
29,full_data,full_groupby_max_data,1000,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.3872573159625428,1.551965322375993,8.01125,1.0,2.0,3.0,4.0,5.599999999999994,0.0,6.0
30,full_data,full_groupby_mean_data,1000,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.405276925690687,1.4669600478611504,7.85125,1.5,2.0,3.0,4.0,4.799999999999997,0.0,6.0
31,full_data,full_data,1000,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,StandardScaler,2.342374027730139,1.311823080300579,7.205875,1.5811388300841898,2.0,3.0,4.0,5.0,0.0,8.5
32,full_groupby_min_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,2.0578288169922034,1.8813339017714676,7.6325,0.7071067811865476,2.0615528128088303,2.5,4.0,5.599999999999994,0.0,7.0
33,full_groupby_min_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,2.9190110781983094,1.8769085634571263,11.9025,2.0615528128088303,2.5,5.0,5.0,5.399999999999999,0.0,6.020797289396148
34,full_groupby_min_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,2.3251321689870776,1.7780520698990632,8.44125,0.5,2.5,3.0,5.0,5.0,0.0,6.020797289396148
35,full_groupby_min_data,full_data,25,1000,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,3.17885803285942,1.9736563597423413,13.9965625,2.23606797749979,2.62797450520358,5.0,5.5,6.020797289396148,0.0,11.0
36,full_groupby_max_data,full_groupby_min_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,3.243082120180348,2.1874805622390063,15.11125,2.0,2.62797450520358,4.031128874149275,5.600000000000001,6.799999999999997,0.0,10.0
37,full_groupby_max_data,full_groupby_max_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,1.902206268482758,1.8093683612845688,6.76125,0.0,2.5,3.0,3.8000000000000007,5.599999999999994,0.0,6.0
38,full_groupby_max_data,full_groupby_mean_data,25,25,KNeighborsRegressor,4,uniform,euclidean,-100.0,dBm,NormalizerManhattan,2.3670942610407324,1.878985974132731,8.9925,1.0,2.5,3.5355339059327378,4.300000000000001,5.699999999999996,0.0,7.0
